cod,nome,data,tipo,cod_tipo,entrada_saida,quantidade,filial,temp_max,temp_min,temp_med,umidade,chuva_mm,prob_chuva,nuvens_pct,vento_kmh,uv,condicoes,icone,dia_semana,chuveu,clima_categoria
10,Açai Natural 250ml,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
101,PIC ABACAXI,2025-10-01,VENDA,24043,S,-5,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
102,PIC ACAI,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
102,PIC ACAI,2025-10-01,VENDA,24035,S,-2,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
102,PIC ACAI,2025-10-01,VENDA,24038,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
103,PIC AMENDOIM,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
103,PIC AMENDOIM,2025-10-01,VENDA,24038,S,-2,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
105,PIC CHICLETE,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
105,PIC CHICLETE,2025-10-01,VENDA,24037,S,-20,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
106,PIC CHOCOLATE,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
106,PIC CHOCOLATE,2025-10-01,VENDA,24035,S,-3,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
106,PIC CHOCOLATE,2025-10-01,VENDA,24037,S,-15,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
106,PIC CHOCOLATE,2025-10-01,VENDA,24038,S,-2,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24039,E,10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24040,S,-5,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24042,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24037,S,-15,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24038,S,-2,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
107,PIC COCO,2025-10-01,VENDA,24039,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
108,PIC COCO QUEIM,2025-10-01,VENDA,24040,S,-7,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
108,PIC COCO QUEIM,2025-10-01,VENDA,24038,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
109,PIC CREME,2025-10-01,VENDA,24040,S,-11,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
200,SORV ABACAXICOCO400ML,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
209,SORV FLOCOS400ML,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
306,SORV CREME2L,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
90,AÇAI GARRAFA NATURAL,2025-10-01,VENDA,24037,S,-3,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
111,PIC FLOCOS,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
111,PIC FLOCOS,2025-10-01,VENDA,24037,S,-15,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
111,PIC FLOCOS,2025-10-01,VENDA,24038,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
112,PIC GRAVIOLA,2025-10-01,VENDA,24037,S,-15,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
112,PIC GRAVIOLA,2025-10-01,VENDA,24038,S,-2,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
113,PIC KIWI,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
114,leite,2025-10-01,VENDA,24040,S,-5,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
114,leite,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
114,leite,2025-10-01,VENDA,24037,S,-15,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
114,leite,2025-10-01,VENDA,24038,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
115,PIC LIMAO,2025-10-01,VENDA,24039,E,10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
115,PIC LIMAO,2025-10-01,VENDA,24042,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
115,PIC LIMAO,2025-10-01,VENDA,24039,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
117,PIC MANGA,2025-10-01,VENDA,24043,S,-5,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
118,PIC MARACUJA,2025-10-01,VENDA,24043,S,-10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
118,PIC MARACUJA,2025-10-01,VENDA,24035,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
118,PIC MARACUJA,2025-10-01,VENDA,24038,S,-1,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
119,PIC MILHO VERDE,2025-10-01,VENDA,24039,E,10,1,26.2,20.6,22.8,72.1,0.0,0.0,9.2,29.2,10.0,Clear,clear-day,Quarta,False,Sol
